synapse ID,presynaptic,postsynaptic,,,,,,
39428,I1L,M3R,,,,,,
39428,I1L,pm4,,,,,,
39448,M2R,NSMR,,,,,,
39448,M2R,I5,,,,,,
39450,M2R,I5,,,,,,
39496,I1L,I5,,,,,,
39525,I3,MI,,,,,,
39527,I3,MI,,,,,,
39535,I3,MI,,,,,,
39538,I3,pm4,,,,,,
39542,I3,pm4,,,,,,
39544,I3,I6,,,,,,
39546,I3,MI,,,,,,
39546,I3,I2R,,,,,,
39548,I3,pm4,,,,,,
39577,I1L,I1R,,,,,,
39577,I1L,I5,,,,,,
39577,I1L,g1D,,,,,,
39587,I1L,I5,,,,,,
39587,I1L,g1D,,,,,,
39587,I1L,I1R,,,,,,
39591,I1L,g1D,,,,,,
39591,I1L,I5,,,,,,
39708,I1L,M3L,,,,,,
39756,I1L,M3L,,,,,,
39758,I1L,MI,,,,,,
39758,I1L,M2L,,,,,,
39760,I1L,M3L,,,,,,
39762,I1L,M3L,,,,,,
39764,I1L,M3L,,,,,,
39766,I1L,M3L,,,,,,
39769,I1L,M3L,,,,,,
39771,I1L,g1D,,,,,,
39795,I1L,M3L,,,,,,
40512,I1L,pm1VL,,,,,,
40647,I3,MCL,,,,,,
40647,I3,M1,,,,,,
40649,I3,MCR,,,,,,
40649,I3,M1,,,,,,
38945,I2R,I1R,,,,,,
38945,I2R,pm3VR,,,,,,
38947,I2R,I1R,,,,,,
38947,I2R,e3VR,,,,,,
38949,I2R,I1R,,,,,,
38949,I2R,M1,,,,,,
38951,I2R,pm3VR,,,,,,
38953,I2R,pm3VR,,,,,,
38956,I2R,pm3VR,,,,,,
38956,I2R,M1,,,,,,
38956,I2R,I1R,,,,,,
39006,MI,M1,,,,,,
39006,MI,M3L,,,,,,
39011,MI,M1,,,,,,
39011,MI,I3,,,,,,
39013,I2R,M1,,,,,,
39013,I2R,I3,,,,,,
39013,I2R,I6,,,,,,
39017,I2R,M1,,,,,,
39017,I2R,I3,,,,,,
39024,I1R,NSMR,,,,,,
39024,I1R,I4,,,,,,
39032,I1R,M3R,,,,,,
39032,I1R,I4,,,,,,
39034,I1R,M3R,,,,,,
39034,I1R,MI,,,,,,
39044,I1R,MI,,,,,,
39044,I1R,I5,,,,,,
39044,I1R,M3R,,,,,,
39046,I1R,M3R,,,,,,
39050,I1R,MI,,,,,,
39059,I1R,MI,,,,,,
39061,I1R,M3R,,,,,,
39063,I1R,g1D,,,,,,
39065,I1R,M3L,,,,,,
39065,I1R,g1D,,,,,,
39067,I1R,M3L,,,,,,
39067,I1R,g1D,,,,,,
39069,I1R,M3R,,,,,,
39073,I1R,g1D,,,,,,
39073,I1R,I5,,,,,,
39078,I1R,g1D,,,,,,
39078,I1R,I5,,,,,,
39080,I1R,I5,,,,,,
39080,I1R,pm4,,,,,,
39082,I1R,I1L,,,,,,
39082,I1R,g1D,,,,,,
39088,I1R,e3D,,,,,,
39088,I1R,g1D,,,,,,
39090,I1R,I1L,,,,,,
39090,I1R,g1D,,,,,,
39092,I1R,E3D,,,,,,
39092,I1R,I5,,,,,,
39094,I1R,I1L,,,,,,
39094,I1R,g1D,,,,,,
39256,M5,pm5,,,,,,
39258,M5,pm5,,,,,,
39260,M5,pm5,,,,,,
39265,M5,I6,,,,,,
39265,M5,pm5,,,,,,
39267,M5,pm5,,,,,,
39267,M5,g1D,,,,,,
39269,M5,pm5,,,,,,
39271,M5,pm5,,,,,,
39275,M5,pm5,,,,,,
39275,M5,g1D,,,,,,
39277,M5,pm5,,,,,,
39279,M5,pm5,,,,,,
39279,M5,g1D,,,,,,
39281,M5,pm5,,,,,,
39283,M5,pm5,,,,,,
39287,M5,pm5,,,,,,
39289,M5,pm5,,,,,,
39291,M5,pm5,,,,,,
39293,M5,pm5,,,,,,
39295,M5,pm5,,,,,,
39305,I1R,NSMR,,,,,,
39440,I2R,pm3VR,,,,,,
39440,I2R,M1,,,,,,
39442,I2R,pm4,,,,,,
39444,I2R,I1R,,,,,,
39444,I2R,pm4,,,,,,
39446,I2R,I2L,,,,,,
39446,I2R,M4,,,,,,
