presynaptic,postsynaptic,synapse ID,,,,,,
I2L,pm4,27408,,,,,,
I2L,pm4,27524,,,,,,
I2L,pm4,27526,,,,,,
I2L,pm4,28326,,,,,,
I2L,pm5,27516,,,,,,
I2L,pm5,27528,,,,,,
I2L,pm5,27544,,,,,,
MI,M1,27349,,,,,,
MI,M1,27355,,,,,,
MI,M3R,28332,,,,,,
MI,I3,27353,,,,,,
MI,I3,27377,,,,,,
MI,I3,27379,,,,,,
MI,M3L,27355,,,,,,
MI,M3L,27369,,,,,,
MI,I5,27357,,,,,,
MI,I5,27363,,,,,,
MI,I5,27365,,,,,,
MI,I5,27711,,,,,,
MI,M4,27395,,,,,,
MI,MCL,27357,,,,,,
MI,MCR,27369,,,,,,
MI,MCR,27395,,,,,,
MI,I6,27361,,,,,,
MI,pm4,27373,,,,,,
MI,pm5,27361,,,,,,
MI,pm5,27367,,,,,,
MI,pm5,27375,,,,,,
M3R,g1D,27426,,,,,,
M3R,g1D,27428,,,,,,
M3R,pm4,27418,,,,,,
M3R,pm4,27422,,,,,,
M3R,pm4,27424,,,,,,
M3R,pm4,27428,,,,,,
M3R,pm4,27432,,,,,,
I3,M1,27325,,,,,,
I3,M1,27329,,,,,,
I3,I2R,27018,,,,,,
I3,I2R,27294,,,,,,
I3,MI,27018,,,,,,
I3,MI,27294,,,,,,
I3,MI,27325,,,,,,
I3,MI,27327,,,,,,
I3,MI,27329,,,,,,
I3,MI,27333,,,,,,
I3,MCL,27327,,,,,,
I3,MCL,27331,,,,,,
I3,MCR,27327,,,,,,
I3,I6,27294,,,,,,
I3,pm4,27343,,,,,,
I3,pm4,27345,,,,,,
I3,pm4,27397,,,,,,
M3L,pm4,27570,,,,,,
M3L,pm4,27572,,,,,,
M3L,pm4,27574,,,,,,
M3L,pm4,27576,,,,,,
M3L,pm4,27581,,,,,,
M3L,pm4,27583,,,,,,
M3L,mc1DL,27576,,,,,,
NSMR,I5,27703,,,,,,
NSMR,I5,27705,,,,,,
NSMR,I5,27707,,,,,,
NSMR,I5,28053,,,,,,
NSMR,I5,28096,,,,,,
NSMR,I5,28106,,,,,,
NSMR,I5,28118,,,,,,
NSMR,I6,28132,,,,,,
NSMR,I6,27778,,,,,,
NSMR,I6,27789,,,,,,
NSMR,pm5,27705,,,,,,
NSMR,pm5,28049,,,,,,
NSMR,pm5,28094,,,,,,
NSMR,pm5,28098,,,,,,
NSMR,pm5,28102,,,,,,
NSMR,pm5,28104,,,,,,
NSMR,pm5,28106,,,,,,
NSMR,pm5,28110,,,,,,
NSMR,pm5,28112,,,,,,
NSMR,pm5,28114,,,,,,
NSMR,pm5,28116,,,,,,
NSMR,pm5,28122,,,,,,
NSMR,I4,27707,,,,,,
NSMR,I4,28094,,,,,,
NSMR,I4,28104,,,,,,
NSMR,I4,28110,,,,,,
NSMR,M2R,27703,,,,,,
NSMR,M2R,27707,,,,,,
NSMR,M2R,28053,,,,,,
NSMR,M2R,28096,,,,,,
NSMR,M2R,28100,,,,,,
NSMR,M2R,28118,,,,,,
NSMR,bm,28098,,,,,,
NSMR,bm,28100,,,,,,
NSMR,bm,28108,,,,,,
NSMR,bm,28112,,,,,,
NSMR,bm,28114,,,,,,
NSMR,bm,28116,,,,,,
NSMR,bm,28120,,,,,,
NSMR,bm,28122,,,,,,
NSMR,bm,28124,,,,,,
NSMR,bm,28126,,,,,,
NSMR,bm,28128,,,,,,
NSMR,bm,28130,,,,,,
NSMR,pm8,28132,,,,,,
NSMR,pm8,28134,,,,,,
NSMR,g1VR,28124,,,,,,
NSMR,g1VR,28126,,,,,,
NSMR,g1VR,28128,,,,,,
I5,e3D,27730,,,,,,
I5,e3D,27732,,,,,,
I5,e3D,27734,,,,,,
I5,e3D,27740,,,,,,
I5,MCR,28303,,,,,,
I5,pm4,27546,,,,,,
I5,pm4,27709,,,,,,
I5,pm4,27713,,,,,,
I5,pm4,27717,,,,,,
I5,pm4,27719,,,,,,
I5,pm4,27728,,,,,,
I5,pm4,27732,,,,,,
I5,pm4,27736,,,,,,
I5,pm4,27738,,,,,,
I5,pm4,27748,,,,,,
I5,pm4,27750,,,,,,
I5,pm4,27752,,,,,,
I5,pm4,27756,,,,,,
I5,pm4,28303,,,,,,
I5,pm4,28289,,,,,,
I5,pm4,28291,,,,,,
I5,pm4,28293,,,,,,
I5,pm4,28295,,,,,,
I5,e1D,27740,,,,,,
I5,e1D,27742,,,,,,
I5,e1D,27744,,,,,,
I5,e1D,27746,,,,,,
I5,e1D,28285,,,,,,
I5,e1D,28287,,,,,,
I5,e1D,28289,,,,,,
I5,e1D,28291,,,,,,
I5,e1D,28293,,,,,,
I5,e1D,28295,,,,,,
I5,bm,27724,,,,,,
M4,MCR,27843,,,,,,
M4,pm5,27801,,,,,,
M4,pm5,27803,,,,,,
M4,pm5,27805,,,,,,
M4,pm5,27807,,,,,,
M4,pm5,27809,,,,,,
M4,pm5,27811,,,,,,
M4,pm5,27813,,,,,,
M4,pm5,27815,,,,,,
M4,pm5,27817,,,,,,
M4,pm5,27819,,,,,,
M4,pm5,27821,,,,,,
M4,pm5,27823,,,,,,
M4,pm5,27825,,,,,,
M4,pm5,27827,,,,,,
M4,pm5,27829,,,,,,
M4,pm5,27845,,,,,,
M4,pm5,27993,,,,,,
M4,pm5,27995,,,,,,
M4,pm5,27997,,,,,,
M4,pm5,27999,,,,,,
M4,pm5,28004,,,,,,
M4,pm5,28006,,,,,,
M4,pm5,28008,,,,,,
M4,pm5,28011,,,,,,
M4,pm5,28013,,,,,,
M4,pm5,28015,,,,,,
M4,pm5,28017,,,,,,
M4,pm5,28019,,,,,,
M4,pm5,28021,,,,,,
M4,pm5,28023,,,,,,
M4,pm5,28025,,,,,,
M4,pm6VL,28032,,,,,,
M4,pm6VL,28034,,,,,,
M4,mc3DR,27834,,,,,,
M4,mc3DR,27839,,,,,,
M4,mc3DR,27841,,,,,,
M4,pm6VR,27839,,,,,,
M4,pm6VR,27841,,,,,,
M4,g1VL,28004,,,,,,
M4,g1VL,28017,,,,,,
M4,mc3DL,28027,,,,,,
M4,mc3DL,28032,,,,,,
M4,pm7VR,28036,,,,,,
M4,g1VR,28036,,,,,,
M4,mc3V,28044,,,,,,
MCL,mc2DR,27536,,,,,,
MCL,mc2DR,27538,,,,,,
MCL,mc2DR,27548,,,,,,
MCL,mc2DR,27550,,,,,,
MCL,mc2DR,27552,,,,,,
MCL,mc2DR,27554,,,,,,
MCL,mc2DR,27558,,,,,,
MCL,pm4,27548,,,,,,
MCL,pm4,27552,,,,,,
MCL,pm4,27554,,,,,,
MCL,pm4,27556,,,,,,
MCL,pm4,27558,,,,,,
MCL,pm4,27564,,,,,,
